PK_Transaction,Scenario,Account,Dataset,DateOfFact,BusinessKey,PolicyNumber,InceptionDate,ExpiryDate,BindDate,DueDate,TrifocusCode,Entity,YOA,TypeOfBusiness,StatsCode,SettlementCCY,OriginalCCY,IsToDate,Value,RowHash,FK_Allocation,DeltaType,AuditSourceBatchID,AuditCreateDateTime,AuditGenerateDateTime,AuditUserCreate,AuditHost,Basis,Location,ValueOrig,BusinessProcessCode,FK_Batch,BoundDate,RIPolicyType,ProgrammeCode,ExcelRowHash,RunNumber
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/07/2019|01/07/2020|721|2623|2019|USD|114|TMB UK Info Sec|Clash|Clash|XL|Systemic cover - Clash,NOPOLICY,01/07/2019,01/07/2020,01/01/1980,01/01/1980,721,2623,2019,N,,USD,USD,Y,323460.8541,,-1,New,,,,,,-,-,323460.8541,,,,XL,Systemic cover - Clash,P-RP-P-TTY|01/07/2019|01/07/2020|721|2623|2019|USD|114|TMB UK Info Sec|Clash|Clash|XL|Systemic cover - Clash,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/01/2019|01/01/2020|721|6107|2019|USD|114|TMB UK Info Sec|QS|Munich QS|QS|MUNQQS,NOPOLICY,01/01/2019,01/01/2020,01/01/1980,01/01/1980,721,6107,2019,N,,USD,USD,Y,288405.463,,-1,New,,,,,,-,-,288405.463,,,,QS,MUNQQS,P-RP-P-TTY|01/01/2019|01/01/2020|721|6107|2019|USD|114|TMB UK Info Sec|QS|Munich QS|QS|MUNQQS,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/01/2019|01/01/2020|721|6107|2019|USD|114|TMB UK Info Sec|QS|Munich Surplus|QS|MUNICH - Surplus,NOPOLICY,01/01/2019,01/01/2020,01/01/1980,01/01/1980,721,6107,2019,N,,USD,USD,Y,269391.4094,,-1,New,,,,,,-,-,269391.4094,,,,QS,MUNICH - Surplus,P-RP-P-TTY|01/01/2019|01/01/2020|721|6107|2019|USD|114|TMB UK Info Sec|QS|Munich Surplus|QS|MUNICH - Surplus,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/07/2019|01/07/2020|721|6107|2019|USD|114|TMB UK Info Sec|Clash|Clash|XL|Systemic cover - Clash,NOPOLICY,01/07/2019,01/07/2020,01/01/1980,01/01/1980,721,6107,2019,N,,USD,USD,Y,74433.9071,,-1,New,,,,,,-,-,74433.9071,,,,XL,Systemic cover - Clash,P-RP-P-TTY|01/07/2019|01/07/2020|721|6107|2019|USD|114|TMB UK Info Sec|Clash|Clash|XL|Systemic cover - Clash,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/07/2019|01/07/2020|768|623|2019|USD|118|TMB Large Risk Cyber|Clash|Clash|XL|Systemic cover - Clash,NOPOLICY,01/07/2019,01/07/2020,01/01/1980,01/01/1980,768,623,2019,N,,USD,USD,Y,34846.2998,,-1,New,,,,,,-,-,34846.2998,,,,XL,Systemic cover - Clash,P-RP-P-TTY|01/07/2019|01/07/2020|768|623|2019|USD|118|TMB Large Risk Cyber|Clash|Clash|XL|Systemic cover - Clash,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/01/2019|01/01/2020|14|623|2019|USD|100|PI-Ins Brokers exBLPT|QS|LPL_AE QS|QS|A&E Lawyers QS,NOPOLICY,01/01/2019,01/01/2020,01/01/1980,01/01/1980,14,623,2019,N,,USD,USD,Y,103263.9541,,-1,New,,,,,,-,-,103263.9541,,,,QS,A&E Lawyers QS,P-RP-P-TTY|01/01/2019|01/01/2020|14|623|2019|USD|100|PI-Ins Brokers exBLPT|QS|LPL_AE QS|QS|A&E Lawyers QS,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/01/2019|01/01/2020|14|623|2019|USD|100|PI-Ins Brokers exBLPT|QS|Munich QS|QS|MUNQQS,NOPOLICY,01/01/2019,01/01/2020,01/01/1980,01/01/1980,14,623,2019,N,,USD,USD,Y,11300.7033,,-1,New,,,,,,-,-,11300.7033,,,,QS,MUNQQS,P-RP-P-TTY|01/01/2019|01/01/2020|14|623|2019|USD|100|PI-Ins Brokers exBLPT|QS|Munich QS|QS|MUNQQS,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/01/2019|01/01/2020|14|623|2019|USD|100|PI-Ins Brokers exBLPT|QS|Munich Surplus|QS|MUNICH - Surplus,NOPOLICY,01/01/2019,01/01/2020,01/01/1980,01/01/1980,14,623,2019,N,,USD,USD,Y,5793.9257,,-1,New,,,,,,-,-,5793.9257,,,,QS,MUNICH - Surplus,P-RP-P-TTY|01/01/2019|01/01/2020|14|623|2019|USD|100|PI-Ins Brokers exBLPT|QS|Munich Surplus|QS|MUNICH - Surplus,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/07/2019|01/07/2020|14|623|2019|USD|100|PI-Ins Brokers exBLPT|Clash|Clash|XL|Systemic cover - Clash,NOPOLICY,01/07/2019,01/07/2020,01/01/1980,01/01/1980,14,623,2019,N,,USD,USD,Y,1853.0437,,-1,New,,,,,,-,-,1853.0437,,,,XL,Systemic cover - Clash,P-RP-P-TTY|01/07/2019|01/07/2020|14|623|2019|USD|100|PI-Ins Brokers exBLPT|Clash|Clash|XL|Systemic cover - Clash,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/01/2019|01/01/2020|676|623|2019|USD|10038|BUSA A&E MM|QS|LPL_AE QS|QS|A&E Lawyers QS,NOPOLICY,01/01/2019,01/01/2020,01/01/1980,01/01/1980,676,623,2019,N,,USD,USD,Y,48713.2738,,-1,New,,,,,,-,-,48713.2738,,,,QS,A&E Lawyers QS,P-RP-P-TTY|01/01/2019|01/01/2020|676|623|2019|USD|10038|BUSA A&E MM|QS|LPL_AE QS|QS|A&E Lawyers QS,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/01/2019|01/01/2020|676|623|2019|USD|10038|BUSA A&E MM|QS|Munich QS|QS|MUNQQS,NOPOLICY,01/01/2019,01/01/2020,01/01/1980,01/01/1980,676,623,2019,N,,USD,USD,Y,48795.0239,,-1,New,,,,,,-,-,48795.0239,,,,QS,MUNQQS,P-RP-P-TTY|01/01/2019|01/01/2020|676|623|2019|USD|10038|BUSA A&E MM|QS|Munich QS|QS|MUNQQS,0
