Scenario,Account,Dataset,DateOfFact,BusinessKey,PolicyNumber,InceptionDate,ExpiryDate,BindDate,DueDate,TrifocusCode,Entity,YOA,TypeOfBusiness,StatsCode,SettlementCCY,OriginalCCY,IsToDate,Value,RowHash,FK_Allocation,DeltaType,AuditSourceBatchID,AuditCreateDateTime,AuditGenerateDateTime,AuditUserCreate,AuditHost,Basis,Location,ValueOrig,BusinessProcessCode,FK_Batch,BoundDate,RIPolicyType,ProgrammeCode,ExcelRowHash,RunNumber
F,P-RP-P-TTY,BICI_RI_Ultimate_Premium,01/09/2020,ObligatedPremium_SL/CyEx|Systemic cover - Clash|2017|USD|739,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,739,8022,2017,-,NULL,USD,USD,Y,0,NULL,NULL,Reversal,NULL,NULL,NULL,NULL,NULL,E,-,0,T1,NULL,NULL,XL,Systemic cover - Clash,ObligatedPremium_SL/CyEx|Systemic cover - Clash|2017|USD|739,NULL
F,P-RP-P-TTY,BICI_RI_Ultimate_Premium,01/09/2020,ObligatedPremium_SL/CyEx|Systemic cover - Clash|2017|USD|764,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,764,8022,2017,-,NULL,USD,USD,Y,0,NULL,NULL,Reversal,NULL,NULL,NULL,NULL,NULL,E,-,0,T1,NULL,NULL,XL,Systemic cover - Clash,ObligatedPremium_SL/CyEx|Systemic cover - Clash|2017|USD|764,NULL
F,P-RP-P-TTY,BICI_RI_Ultimate_Premium,01/09/2020,ObligatedPremium_SL/CyEx|Systemic cover - Clash|2018|USD|675,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,675,8022,2018,-,NULL,USD,USD,Y,0,NULL,NULL,Reversal,NULL,NULL,NULL,NULL,NULL,E,-,0,T1,NULL,NULL,XL,Systemic cover - Clash,ObligatedPremium_SL/CyEx|Systemic cover - Clash|2018|USD|675,NULL
F,P-RP-P-TTY,BICI_RI_Ultimate_Premium,01/09/2020,ObligatedPremium_SL/CyEx|Systemic cover - Clash|2018|USD|701,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,701,8022,2018,-,NULL,USD,USD,Y,0,NULL,NULL,Reversal,NULL,NULL,NULL,NULL,NULL,E,-,0,T1,NULL,NULL,XL,Systemic cover - Clash,ObligatedPremium_SL/CyEx|Systemic cover - Clash|2018|USD|701,NULL
F,P-RP-P-TTY,BICI_RI_Ultimate_Premium,01/09/2020,ObligatedPremium_SL/CyEx|Systemic cover - Clash|2018|USD|702,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,702,8022,2018,-,NULL,USD,USD,Y,0,NULL,NULL,Reversal,NULL,NULL,NULL,NULL,NULL,E,-,0,T1,NULL,NULL,XL,Systemic cover - Clash,ObligatedPremium_SL/CyEx|Systemic cover - Clash|2018|USD|702,NULL
F,P-RP-P-TTY,BICI_RI_Ultimate_Premium,01/09/2020,ObligatedPremium_SL/CyEx|Systemic cover - Clash|2018|USD|745,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,745,8022,2018,-,NULL,USD,USD,Y,0,NULL,NULL,Reversal,NULL,NULL,NULL,NULL,NULL,E,-,0,T1,NULL,NULL,XL,Systemic cover - Clash,ObligatedPremium_SL/CyEx|Systemic cover - Clash|2018|USD|745,NULL
F,P-RP-P-TTY,BICI_RI_Ultimate_Premium,01/09/2020,ObligatedPremium_SL/CyEx|Systemic cover - Clash|2018|USD|751,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,751,8022,2018,-,NULL,USD,USD,Y,0,NULL,NULL,Reversal,NULL,NULL,NULL,NULL,NULL,E,-,0,T1,NULL,NULL,XL,Systemic cover - Clash,ObligatedPremium_SL/CyEx|Systemic cover - Clash|2018|USD|751,NULL
F,P-RP-P-TTY,BICI_RI_Ultimate_Premium,01/09/2020,ObligatedPremium_SL/CyEx|US Small Risks XL|2016|USD|687,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,687,8022,2016,-,NULL,USD,USD,Y,0,NULL,NULL,Reversal,NULL,NULL,NULL,NULL,NULL,E,-,0,T1,NULL,NULL,XL,US Small Risks XL,ObligatedPremium_SL/CyEx|US Small Risks XL|2016|USD|687,NULL
F,P-RP-P-TTY,BICI_RI_Ultimate_Premium,01/09/2020,ObligatedPremium_SL/CyEx|A&E Lawyers QS|2018|USD|668,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,668,8022,2018,-,NULL,USD,USD,Y,1.9884,NULL,NULL,Adjustment,NULL,NULL,NULL,NULL,NULL,E,-,1.9884,T1,NULL,NULL,QS,A&E Lawyers QS,ObligatedPremium_SL/CyEx|A&E Lawyers QS|2018|USD|668,NULL
F,P-RP-P-TTY,BICI_RI_Ultimate_Premium,01/09/2020,ObligatedPremium_SL/CyEx|A&E Lawyers QS|2019|USD|668,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,668,8022,2019,-,NULL,USD,USD,Y,-233.697,NULL,NULL,Adjustment,NULL,NULL,NULL,NULL,NULL,E,-,-233.697,T1,NULL,NULL,QS,A&E Lawyers QS,ObligatedPremium_SL/CyEx|A&E Lawyers QS|2019|USD|668,NULL
F,P-RP-P-TTY,BICI_RI_Ultimate_Premium,01/09/2020,ObligatedPremium_SL/CyEx|A&E Lawyers QS|2020|USD|668,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,668,8022,2020,-,NULL,USD,USD,Y,-9065.5779,NULL,NULL,Adjustment,NULL,NULL,NULL,NULL,NULL,E,-,-9065.5779,T1,NULL,NULL,QS,A&E Lawyers QS,ObligatedPremium_SL/CyEx|A&E Lawyers QS|2020|USD|668,NULL
F,P-RP-P-TTY,BICI_RI_Ultimate_Premium,01/09/2020,ObligatedPremium_SL/CyEx|CUNA QS|2019|USD|722,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,722,8022,2019,-,NULL,USD,USD,Y,5177.46,NULL,NULL,Adjustment,NULL,NULL,NULL,NULL,NULL,E,-,5177.46,T1,NULL,NULL,QS,CUNA QS,ObligatedPremium_SL/CyEx|CUNA QS|2019|USD|722,NULL
