Policy Ref,Entity,Value,TriFocus,CCY,YOA,Date Of Fact,Source File
R0704B09,2623,8132.4729,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0704B09,623,1662.5,n/a,GBP,2009,01/12/2018,Aon Broker Rebates @2009
R0704B09,2623,7087.5,n/a,GBP,2009,01/12/2018,Aon Broker Rebates @2009
R0705A09,623,13457.6164,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0705A09,2623,57371.9436,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0706A09,623,13323.0394,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0706A09,2623,56798.2206,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0706B09,623,2664.6075,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0706B09,2623,11359.6425,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0706C09,623,5329.215,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0706C09,2623,22719.285,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0706D09,623,2664.6075,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0706D09,2623,11359.6425,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0706E09,623,2664.6075,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0706E09,2623,11359.6425,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0707A09,623,15805.9689,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0707A09,2623,67383.3411,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0708A09,623,3179.3612,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0708A09,2623,13554.1188,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0708B09,623,1589.6806,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0708B09,2623,6777.0594,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0708C09,623,5659.264,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0708C09,2623,24126.336,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0708D09,623,1271.7441,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0708D09,2623,5421.6459,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0709A09,623,1754.4619,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0709A09,2623,7479.5481,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0709B09,623,4741.7901,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0709B09,2623,20214.9999,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0709C09,623,15822.0923,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0709C09,2623,67452.0777,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0709D09,623,2528.9551,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0709D09,2623,10781.3349,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0709E09,623,2528.9551,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0709E09,2623,10781.3349,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0710A09,623,6976.4276,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0710A09,2623,29741.6124,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0710B09,623,5232.3207,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0710B09,2623,22306.2093,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0711A09,623,5086.9783,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0711A09,2623,21686.5917,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0712A09,623,7654.6915,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0712A09,2623,32633.1585,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0713A09,623,24270.7121,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0713A09,2623,103469.8779,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0714A09,623,23371.3281,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0714A09,2623,99635.6619,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
