"PK_Transaction","Scenario","Account","Dataset","DateOfFact","BusinessKey","PolicyNumber","InceptionDate","ExpiryDate","BindDate","DueDate","TrifocusCode","Entity","YOA","TypeOfBusiness","StatsCode","SettlementCCY","OriginalCCY","IsToDate","Value","RowHash","FK_Allocation","DeltaType","AuditSourceBatchID","AuditCreateDateTime","AuditGenerateDateTime","AuditUserCreate","AuditHost","Basis","Location","ValueOrig","BusinessProcessCode","FK_Batch","BoundDate","RIPolicyType","ProgrammeCode","ExcelRowHash","RunNumber"
"NULL","A","CC-LS-TTY-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|QS|SPQS14|668|2014","SPQS14","2014-01-01","2014-12-31","1980-01-01","1980-01-01","668","USBICI","2014","-","NULL","USD","USD","Y","9596605.7700","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","9596605.7700","T1","NULL","NULL","QS","BICI Internal QS","BICI Internal QS|QS|SPQS14|668|2014","NULL"
"NULL","A","CC-LS-TTY-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|QS|SPQS16|668|2016","SPQS16","2016-01-01","2016-12-31","1980-01-01","1980-01-01","668","USBICI","2016","-","NULL","USD","USD","Y","8300345.2800","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","8300345.2800","T1","NULL","NULL","QS","BICI Internal QS","BICI Internal QS|QS|SPQS16|668|2016","NULL"
"NULL","A","CC-LS-TTY-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|QS|SPQS16|671|2016","SPQS16","2016-01-01","2016-12-31","1980-01-01","1980-01-01","671","USBICI","2016","-","NULL","USD","USD","Y","355587.2500","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","355587.2500","T1","NULL","NULL","QS","BICI Internal QS","BICI Internal QS|QS|SPQS16|671|2016","NULL"
"NULL","A","CC-LS-TTY-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|QS|SPQS16|672|2016","SPQS16","2016-01-01","2016-12-31","1980-01-01","1980-01-01","672","USBICI","2016","-","NULL","USD","USD","Y","3458389.1400","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","3458389.1400","T1","NULL","NULL","QS","BICI Internal QS","BICI Internal QS|QS|SPQS16|672|2016","NULL"
"NULL","A","CC-LS-TTY-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|QS|SPQS16|673|2016","SPQS16","2016-01-01","2016-12-31","1980-01-01","1980-01-01","673","USBICI","2016","-","NULL","USD","USD","Y","1374295.1900","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","1374295.1900","T1","NULL","NULL","QS","BICI Internal QS","BICI Internal QS|QS|SPQS16|673|2016","NULL"
"NULL","A","CC-LS-TTY-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|QS|SPQS7-9|672|2007","SPQS7-9","2007-01-01","2007-12-31","1980-01-01","1980-01-01","672","USBICI","2007","-","NULL","USD","USD","Y","10846925.7400","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","10846925.7400","T1","NULL","NULL","QS","BICI Internal QS","BICI Internal QS|QS|SPQS7-9|672|2007","NULL"
"NULL","A","CC-LS-TTY-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|QS|SPQS7-9|673|2007","SPQS7-9","2007-01-01","2007-12-31","1980-01-01","1980-01-01","673","USBICI","2007","-","NULL","USD","USD","Y","3159337.2600","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","3159337.2600","T1","NULL","NULL","QS","BICI Internal QS","BICI Internal QS|QS|SPQS7-9|673|2007","NULL"
"NULL","A","CC-LS-TTY-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|QS|SPQS7-9|685|2007","SPQS7-9","2007-01-01","2007-12-31","1980-01-01","1980-01-01","685","USBICI","2007","-","NULL","USD","USD","Y","16880927.3000","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","16880927.3000","T1","NULL","NULL","QS","BICI Internal QS","BICI Internal QS|QS|SPQS7-9|685|2007","NULL"
"NULL","A","CC-LS-TTY-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|QS|SPQS7-9|686|2007","SPQS7-9","2007-01-01","2007-12-31","1980-01-01","1980-01-01","686","USBICI","2007","-","NULL","USD","USD","Y","1528084.8300","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","1528084.8300","T1","NULL","NULL","QS","BICI Internal QS","BICI Internal QS|QS|SPQS7-9|686|2007","NULL"
"NULL","A","CC-LS-TTY-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|QS|SPSUR13|672|2013","SPSUR13","2013-01-01","2013-12-31","1980-01-01","1980-01-01","672","USBICI","2013","-","NULL","USD","USD","Y","46088.3500","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","46088.3500","T1","NULL","NULL","QS","BICI Internal QS","BICI Internal QS|QS|SPSUR13|672|2013","NULL"
"NULL","A","CC-LS-TTY-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|QS|SPSUR13|675|2013","SPSUR13","2013-01-01","2013-12-31","1980-01-01","1980-01-01","675","USBICI","2013","-","NULL","USD","USD","Y","4576.7500","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","4576.7500","T1","NULL","NULL","QS","BICI Internal QS","BICI Internal QS|QS|SPSUR13|675|2013","NULL"
"NULL","A","CC-LS-TTY-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|QS|SPSUR13|686|2013","SPSUR13","2013-01-01","2013-12-31","1980-01-01","1980-01-01","686","USBICI","2013","-","NULL","USD","USD","Y","28765.4900","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","28765.4900","T1","NULL","NULL","QS","BICI Internal QS","BICI Internal QS|QS|SPSUR13|686|2013","NULL"
"NULL","A","CC-LS-TTY-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|QS|SPSUR13|696|2013","SPSUR13","2013-01-01","2013-12-31","1980-01-01","1980-01-01","696","USBICI","2013","-","NULL","USD","USD","Y","1013.3300","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","1013.3300","T1","NULL","NULL","QS","BICI Internal QS","BICI Internal QS|QS|SPSUR13|696|2013","NULL"
