PK_Transaction,Scenario,Account,Dataset,DateOfFact,BusinessKey,PolicyNumber,InceptionDate,ExpiryDate,BindDate,DueDate,TrifocusCode,Entity,YOA,TypeOfBusiness,StatsCode,SettlementCCY,OriginalCCY,IsToDate,Value,RowHash,FK_Allocation,DeltaType,AuditSourceBatchID,AuditCreateDateTime,AuditGenerateDateTime,AuditUserCreate,AuditHost,Basis,Location,ValueOrig,BusinessProcessCode,FK_Batch,BoundDate,ExcelRowHash,RunNumber,BeazleyCatCode
,F,RP-ULT-G,RIPsEventAlloc,2020-12-01,Treaty|Cat|Derecho|Inwards|2020|USD|Syndicate 623|Derecho Weather|2020|10/08/2020,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,623,2020,-,,USD,USD,Y,16508.52,,,Adjustment,,,,,,E,-,16508.52,T1,,,Treaty|Cat|Derecho|Inwards|2020|USD|Syndicate 623|Derecho Weather|2020|10/08/2020|TRI00004,8,20P         
,F,RP-ULT-G,RIPsEventAlloc,2020-12-01,Treaty|Cat|Derecho|Inwards|2020|USD|Syndicate 2623|Derecho Weather|2020|10/08/2020,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,2623,2020,-,,USD,USD,Y,75205.48,,,Adjustment,,,,,,E,-,75205.48,T1,,,Treaty|Cat|Derecho|Inwards|2020|USD|Syndicate 2623|Derecho Weather|2020|10/08/2020|TRI00004,8,20P         
,F,RP-ULT-G,RIPsEventAlloc,2020-12-01,Treaty|Cat|Covid-19|Inwards|2020|USD|Syndicate 623|Coronavirus|2020|11/03/2020,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,623,2020,-,,USD,USD,Y,-47764.44,,,Adjustment,,,,,,E,-,-47764.44,T1,,,Treaty|Cat|Covid-19|Inwards|2020|USD|Syndicate 623|Coronavirus|2020|11/03/2020|TRI00004,8,CORO        
,F,RP-ULT-G,RIPsEventAlloc,2020-12-01,Treaty|Cat|Covid-19|Inwards|2020|USD|Syndicate 2623|Coronavirus|2020|11/03/2020,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,2623,2020,-,,USD,USD,Y,-217593.56,,,Adjustment,,,,,,E,-,-217593.56,T1,,,Treaty|Cat|Covid-19|Inwards|2020|USD|Syndicate 2623|Coronavirus|2020|11/03/2020|TRI00004,8,CORO        
,F,RP-ULT-G,RIPsEventAlloc,2020-12-01,Treaty|Cat|Covid-19|Inwards|2019|USD|Syndicate 623|Coronavirus|2020|11/03/2020,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,623,2019,-,,USD,USD,Y,-92527.38,,,Adjustment,,,,,,E,-,-92527.38,T1,,,Treaty|Cat|Covid-19|Inwards|2019|USD|Syndicate 623|Coronavirus|2020|11/03/2020|TRI00004,8,CORO        
,F,RP-ULT-G,RIPsEventAlloc,2020-12-01,Treaty|Cat|Covid-19|Inwards|2019|USD|Syndicate 2623|Coronavirus|2020|11/03/2020,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,2623,2019,-,,USD,USD,Y,-421513.62,,,Adjustment,,,,,,E,-,-421513.62,T1,,,Treaty|Cat|Covid-19|Inwards|2019|USD|Syndicate 2623|Coronavirus|2020|11/03/2020|TRI00004,8,CORO        
,F,RP-ULT-G,RIPsEventAlloc,2020-12-01,Treaty|Cat|Hurricane Harvey|Inwards|2017|USD|Syndicate 623|Hurricane Harvey|2017|17/08/2017,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,623,2017,-,,USD,USD,Y,1742.22,,,Adjustment,,,,,,E,-,1742.22,T1,,,Treaty|Cat|Hurricane Harvey|Inwards|2017|USD|Syndicate 623|Hurricane Harvey|2017|17/08/2017|TRI00004,8,17F         
,F,RP-ULT-G,RIPsEventAlloc,2020-12-01,Treaty|Cat|Hurricane Harvey|Inwards|2017|USD|Syndicate 2623|Hurricane Harvey|2017|17/08/2017,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,2623,2017,-,,USD,USD,Y,7936.78,,,Adjustment,,,,,,E,-,7936.78,T1,,,Treaty|Cat|Hurricane Harvey|Inwards|2017|USD|Syndicate 2623|Hurricane Harvey|2017|17/08/2017|TRI00004,8,17F         
,F,RP-ULT-G,RIPsEventAlloc,2020-12-01,Treaty|Cat|Hurricane Irma|Inwards|2017|USD|Syndicate 623|Hurricane Irma|2017|30/08/2017,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,623,2017,-,,USD,USD,Y,-101717.64,,,Adjustment,,,,,,E,-,-101717.64,T1,,,Treaty|Cat|Hurricane Irma|Inwards|2017|USD|Syndicate 623|Hurricane Irma|2017|30/08/2017|TRI00004,8,17G         
,F,RP-ULT-G,RIPsEventAlloc,2020-12-01,Treaty|Cat|Hurricane Irma|Inwards|2017|USD|Syndicate 2623|Hurricane Irma|2017|30/08/2017,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,2623,2017,-,,USD,USD,Y,-463380.36,,,Adjustment,,,,,,E,-,-463380.36,T1,,,Treaty|Cat|Hurricane Irma|Inwards|2017|USD|Syndicate 2623|Hurricane Irma|2017|30/08/2017|TRI00004,8,17G         
