AccountingPeriod,PolicyNumber,yoa,focus_area,TrifocusCode,TrifocusName,Entity,SignedValue,SignedLinePercent,SettlementCCY,OrgininalValue,OriginalCCY,MC_OriginalValue,MC_OrgininalCCY,mop,tot,Multiyear,statscode,Inception,Expiry,AccountKey
202301,T9105K15APCR,2015,Ex Cat                   ,TRI00012,Ex Cat,623,47920.4400,2.0000,USD,2396022,USD,,,T  ,2015-07-30 00:00:00,N,SC ,2015-07-01 00:00:00,2016-06-30 00:00:00,GPE-RP-P
202301,T9105K16APCR,2016,Ex Cat                   ,TRI00012,Ex Cat,623,138785.4000,2.0000,USD,6939270,USD,,,T  ,2016-07-30 00:00:00,N,SC ,2016-07-01 00:00:00,2017-06-30 00:00:00,GPE-RP-P
202301,T9105K17APCR,2017,Ex Cat                   ,TRI00012,Ex Cat,623,90280.4000,2.0000,USD,4514020,USD,,,T  ,2017-07-30 00:00:00,N,SC ,2017-07-01 00:00:00,2018-06-30 00:00:00,GPE-RP-P
202301,T9106Z12APCR,2012,Ex Cat                   ,TRI00012,Ex Cat,623,44127.0000,2.0000,USD,2206350,USD,,,T  ,2012-07-31 00:00:00,N,SC ,2012-07-01 00:00:00,2013-06-30 00:00:00,GPE-RP-P
202301,T9068X13APCC,2013,Cat                      ,TRI00004,Cat,623,15218.7526,1.0000,GBP,252949137,JPY,,,T  ,2013-04-30 00:00:00,N,SC ,2013-04-01 00:00:00,2014-03-31 00:00:00,GPE-RP-P
202301,T9075Z10APCC,2010,Cat                      ,TRI00004,Cat,623,7576.4182,2.5000,GBP,486235792,KRW,,,T  ,2010-04-30 00:00:00,N,SC ,2010-04-01 00:00:00,2011-03-31 00:00:00,GPE-RP-P
202301,T9075Z12APCC,2012,Cat                      ,TRI00004,Cat,623,25677.6382,3.0000,GBP,1373272791,KRW,,,T  ,2012-04-30 00:00:00,N,SC ,2012-04-01 00:00:00,2013-03-31 00:00:00,GPE-RP-P
202301,T9079L17APCC,2017,Cat                      ,TRI00004,Cat,623,35525.2000,1.2500,USD,2842016,USD,,,T  ,2017-08-15 00:00:00,N,SC ,2017-04-01 00:00:00,2018-03-31 00:00:00,GPE-RP-P
202301,T9079L19APCC,2019,                         ,,,623,17231.7000,2.0000,USD,180503,USD,,,T  ,2019-08-15 00:00:00,N,SC ,2019-04-01 00:00:00,2020-03-31 00:00:00,GPE-RP-P
202301,T9080D17APCC,2017,                         ,,,623,6132.6750,1.2500,USD,490614,USD,,,T  ,2017-08-15 00:00:00,N,SC ,2017-04-01 00:00:00,2018-03-31 00:00:00,GPE-RP-P
202301,T9081L10APCB,2010,Cat                      ,TRI00004,Cat,623,11596.8000,3.0000,USD,386560,USD,,,T  ,2011-03-07 00:00:00,N,SC ,2010-04-01 00:00:00,2011-03-31 00:00:00,GPE-RP-P
202301,T9081L10APCC,2010,Cat                      ,TRI00004,Cat,623,36772.7400,3.0000,USD,1225758,USD,,,T  ,2010-04-30 00:00:00,N,SC ,2010-04-01 00:00:00,2011-03-31 00:00:00,GPE-RP-P
202301,T9081L11ANMD,2011,Treaty Misc              ,TRI00033,Treaty Misc,623,113750.0000,7.0000,USD,1625000,USD,,,T  ,2011-04-30 00:00:00,N,00 ,2011-04-01 00:00:00,2012-03-31 00:00:00,GPE-RP-P
202301,T9082A10APCC,2010,Cat                      ,TRI00004,Cat,623,20224.2000,2.5000,USD,808968,USD,,,T  ,2010-04-30 00:00:00,N,SC ,2010-04-01 00:00:00,2011-03-31 00:00:00,GPE-RP-P
202301,T9082A11ANMD,2011,Treaty Misc              ,TRI00033,Treaty Misc,623,36000.0000,3.0000,USD,1200000,USD,,,T  ,2011-04-30 00:00:00,N,00 ,2011-04-01 00:00:00,2012-03-31 00:00:00,GPE-RP-P
202301,T9083H12APCC,2012,Cat                      ,TRI00004,Cat,623,43408.8200,6.5000,USD,667828,USD,,,T  ,2012-07-31 00:00:00,N,SC ,2012-07-01 00:00:00,2013-06-30 00:00:00,GPE-RP-P
202301,T9089X14APCC,2014,Cat                      ,TRI00004,Cat,623,12929.1200,8.0000,EUR,161614,EUR,,,T  ,2014-05-01 00:00:00,N,SC ,2014-04-01 00:00:00,2015-03-31 00:00:00,GPE-RP-P
202301,T9101X14APCC,2014,Cat                      ,TRI00004,Cat,623,11208.4070,1.0000,GBP,103500000,INR,,,T  ,2014-05-31 00:00:00,N,SC ,2014-04-01 00:00:00,2015-03-31 00:00:00,GPE-RP-P
202301,T9051Q11APCC,2011,Cat                      ,TRI00004,Cat,623,20274.7750,2.5000,USD,810991,USD,,,T  ,2011-03-31 00:00:00,N,SC ,2011-03-01 00:00:00,2012-02-29 00:00:00,GPE-RP-P
202301,T9051Q12APCC,2012,Cat                      ,TRI00004,Cat,623,40979.5500,2.5000,USD,1639182,USD,,,T  ,2012-03-31 00:00:00,N,SC ,2012-03-01 00:00:00,2013-02-28 00:00:00,GPE-RP-P
202301,T9052C10APCR,2010,Ex Cat                   ,TRI00012,Ex Cat,623,14454.3000,35.0000,EUR,41298,EUR,,,T  ,2010-06-01 00:00:00,N,SC ,2010-04-01 00:00:00,2011-03-31 00:00:00,GPE-RP-P
202301,T9052C13APCR,2013,Ex Cat                   ,TRI00012,Ex Cat,623,412.6000,20.0000,EUR,2063,EUR,,,T  ,2013-05-01 00:00:00,N,SC ,2013-04-01 00:00:00,2014-03-31 00:00:00,GPE-RP-P
